concedente,tipo_vaga,vaga,tipo_cota,no_salario_inicio,no_salario_limite,carga_horaria,dt_vigencia_inicio,dt_vigencia_limite,cidade,no_qtd_vagas,qt_candidatos,qt_contratados,status_salario,salario_usd,ano_vigencia,mes_vigencia
FERTAGRO,ESTÁGIO NÃO REMUNERADO,TÉCNICO AGROPECUÁRIO,AMPLA CONCORRÊNCIA,,,25,,,UBERABA,1,22,1,Baixo,,,
GABONI PROFESSIONAL,ESTÁGIO NÃO REMUNERADO,ESTÁGIO TÉCNICO CONTABILIDADE,AMPLA CONCORRÊNCIA,,,30,2022-01-10,04/02/2022,PATROCÍNIO,1,1,1,Baixo,,2022.0,1.0
GLOBAL EXPRESS,EMPREGO,TÉCNICO EM ELETRÔNICA/ ELETROELETRÔNICA,AMPLA CONCORRÊNCIA,1333.0,3000.0,44,2021-10-14,31/10/2021,UBERLÂNDIA,7,1,0,Alto,266.6,2021.0,10.0
GLOBAL EXPRESS,EMPREGO,TÉCNICO EM ELETRÔNICA/ELETROELETRÔNICA,AMPLA CONCORRÊNCIA,1100.0,1500.0,36,2021-10-14,31/10/2021,UBERLÂNDIA,3,1,0,Baixo,220.0,2021.0,10.0
GLOBAL EXPRESS,ESTÁGIO REMUNERADO,ESTÁGIO EM ELETRÔNICA/ELETROELETRÔNICA,AMPLA CONCORRÊNCIA,800.0,1000.0,30,2021-10-14,31/10/2021,UBERLÂNDIA,5,1,0,Baixo,160.0,2021.0,10.0
IEF,ESTÁGIO NÃO REMUNERADO,TÉCNICO DE AGROECOLOGIA,AMPLA CONCORRÊNCIA,,,20,2022-08-01,31/12/2022,PATOS DE MINAS,1,0,0,Baixo,,2022.0,8.0
JBE SOLUCOES EM ENERGIA LTDA,ESTÁGIO REMUNERADO,ESTAGIO ENGENHARIA ELETRICA,AMPLA CONCORRÊNCIA,600.0,600.0,30,,,PARACATU,1,0,0,Baixo,120.0,,
KP CONSULTORIA LTDA,EMPREGO,SURPEVISOR AGRÍCOLA,AMPLA CONCORRÊNCIA,3000.0,3500.0,40,,,UBERLÂNDIA,1,0,0,Alto,600.0,,
KROMA,ESTÁGIO NÃO REMUNERADO,VAGA ESTAGIO RECURSOS HUMANOS,AMPLA CONCORRÊNCIA,,,6,2022-07-22,02/08/2022,PARACATU,1,0,0,Baixo,,2022.0,7.0
KROMA,ESTÁGIO NÃO REMUNERADO,VAGA ESTAGIO FINANCEIRO,AMPLA CONCORRÊNCIA,,,6,2022-07-22,02/08/2022,PARACATU,1,0,0,Baixo,,2022.0,7.0
